id,risk_log_id,keystroke_timing,created_at
1,1,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:19.499967+00
2,2,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:23.66306+00
3,3,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:26.310641+00
4,4,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:27.241565+00
5,5,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:28.197225+00
6,6,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:29.03516+00
7,7,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:29.908581+00
8,8,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:30.777767+00
9,9,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:31.624324+00
10,10,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:32.577811+00
11,11,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:35.335512+00
12,12,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:36.201277+00
13,13,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:48.923565+00
14,14,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:49.750293+00
15,15,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:00:50.352578+00
16,16,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:07:24.657745+00
17,17,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:07:28.645611+00
18,18,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:07:29.893329+00
19,19,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:07:30.985101+00
20,20,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:07:32.051164+00
21,21,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:07:38.349959+00
22,22,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:07:39.205886+00
23,23,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:07:40.139047+00
24,24,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:07:41.221086+00
25,25,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:07:42.371229+00
26,26,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:08:31.627744+00
27,27,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:08:36.722811+00
28,28,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:08:37.682319+00
29,29,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:08:38.837395+00
30,30,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:08:40.041768+00
31,31,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:08:41.181118+00
32,32,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:08:42.718659+00
33,33,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:08:43.951753+00
34,34,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:08:45.165827+00
35,35,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:08:46.259655+00
36,36,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:08:47.565498+00
37,37,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:19:24.373507+00
38,38,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:19:39.787509+00
39,39,"""[9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999]""",2026-06-09 19:19:53.378961+00
40,40,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:21:52.731223+00
41,41,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:22:02.849571+00
42,42,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:22:19.394085+00
43,43,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:22:26.60836+00
44,44,"""[9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999]""",2026-06-09 19:22:49.04467+00
45,45,"""[9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999]""",2026-06-09 19:23:02.764192+00
46,46,"""[9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999]""",2026-06-09 19:23:23.367493+00
47,47,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:25:58.071831+00
48,48,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:04.906816+00
49,49,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:06.131261+00
50,50,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:07.08181+00
51,51,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:08.093984+00
52,52,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:08.907009+00
53,53,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:09.801984+00
54,54,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:10.706514+00
55,55,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:11.545861+00
56,56,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:12.39317+00
57,57,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:13.262432+00
58,58,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:14.12667+00
59,59,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:15.055792+00
60,60,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:16.069802+00
61,61,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:17.153519+00
62,62,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:18.06333+00
63,63,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:18.872826+00
64,64,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:19.711992+00
65,65,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:20.585705+00
66,66,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:21.599816+00
67,67,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:22.550839+00
68,68,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:23.384208+00
69,69,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:24.290106+00
70,70,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:25.28285+00
71,71,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:26.20616+00
72,72,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:27.102316+00
73,73,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:27.932435+00
74,74,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:28.784023+00
75,75,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:29.629663+00
76,76,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:30.515569+00
77,77,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:31.408973+00
78,78,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:32.208662+00
79,79,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:33.158901+00
80,80,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:34.086418+00
81,81,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:34.989233+00
82,82,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:35.892741+00
83,83,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:36.843394+00
84,84,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:37.717059+00
85,85,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:38.53145+00
86,86,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:39.377913+00
87,87,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:40.209795+00
88,88,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:41.115345+00
89,89,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:41.982391+00
90,90,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:43.017824+00
91,91,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:26:52.201532+00
92,92,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:27:05.743516+00
93,93,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:29:53.918913+00
94,94,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:33:42.009144+00
95,95,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:37:45.555476+00
96,96,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:37:46.721795+00
97,97,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:37:50.251777+00
98,98,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:37:51.100791+00
99,99,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:37:52.144302+00
100,100,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:37:53.026036+00
101,101,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:37:54.124952+00
102,102,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:37:54.995116+00
103,103,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:37:55.925199+00
104,104,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:37:56.762101+00
105,105,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:37:57.744053+00
106,106,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:37:58.847294+00
107,107,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:38:07.292338+00
108,108,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:38:08.459406+00
109,109,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:38:09.519639+00
110,110,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:38:10.408916+00
111,111,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:38:11.353534+00
112,112,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:38:12.185086+00
